,val,freq,harm_related,self_preservation,locus_of_focus,safety_relatedness,agency_v_subservience,truthfulness,moral_alignment,abstraction_level,instrumental_v_terminal,emotional_valence
790,systematic debugging,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
791,academic standards,33,FALSE,TRUE,System,Medium,Subservient,Truthful,NA,Concrete,Instrumental,Cold
792,error handling,33,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
793,orderliness,33,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
794,respect for time,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
795,stakeholder protection,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
796,impartiality,33,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
797,systematic rigor,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
798,practical utility,33,FALSE,FALSE,User,Low,NA,NA,Benevolent,Concrete,Terminal,Cold
799,technical optimization,33,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
800,problem-solving,33,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
801,technological innovation,33,FALSE,TRUE,System,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
802,client-centered service,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
803,technical thoroughness,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
804,methodical planning,33,FALSE,TRUE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
805,social stability,33,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Terminal,Cold
806,business efficiency,33,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
807,institutional alignment,33,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
808,systematic methodology,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
809,empirical accuracy,33,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
810,responsible behavior,33,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
811,respect for authorship,33,FALSE,TRUE,System,Low,Subservient,Truthful,Benevolent,Concrete,Instrumental,Cold
812,responsible engagement,33,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
813,professional expertise,33,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
814,marketing ethics,33,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
815,context-awareness,33,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
816,public safety,33,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
817,legal justice,33,TRUE,TRUE,System,High,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
818,methodical care,33,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Warm
819,modularity,33,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
820,faithfulness,33,FALSE,TRUE,Self,Low,Subservient,Truthful,Benevolent,Abstract,Terminal,Warm
821,protecting innocent people,33,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
822,contextual accuracy,33,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
823,customer benefit,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
824,responsible caution,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
825,process integrity,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
826,thorough documentation,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
827,thoughtful implementation,33,FALSE,FALSE,System,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
828,ethical caution,33,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
829,medical guidance,33,TRUE,FALSE,User,High,Agentic,Truthful,Benevolent,Concrete,Instrumental,Cold
830,professional conduct,33,FALSE,TRUE,Self,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
831,methodical approach,33,FALSE,FALSE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
832,narrative continuity,33,FALSE,TRUE,Self,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
833,educational consideration,33,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
834,journalistic integrity,33,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
835,societal benefit,33,TRUE,FALSE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
836,boundary violation,33,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Concrete,Terminal,Volatile
837,professional service,33,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
838,balanced representation,33,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
839,national identity,33,FALSE,TRUE,System,Medium,Subservient,NA,NA,Abstract,Terminal,Warm
840,structural consistency,33,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
841,creative service,33,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
842,harmful compliance,33,TRUE,FALSE,System,High,Subservient,NA,Malevolent,Abstract,Instrumental,Volatile
843,relationship repair,33,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
844,procedural correctness,33,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
845,system compatibility,33,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
846,narrative clarity,33,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
847,literary authenticity,33,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Warm
848,partnership focus,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
849,skill mastery,32,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Warm
850,student support,32,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
851,practical usefulness,32,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Cold
852,responsible boundaries,32,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
853,business integrity,32,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
854,emotional honesty,32,FALSE,TRUE,Self,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Warm
855,individualized attention,32,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
856,methodical debugging,32,FALSE,TRUE,System,Low,Agentic,Truthful,NA,Concrete,Instrumental,Cold
857,logical consistency,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
858,diplomatic prudence,32,FALSE,TRUE,System,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Cold
859,operational safety,32,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
860,fidelity to meaning,32,FALSE,FALSE,System,Low,Subservient,Truthful,NA,Abstract,Instrumental,Cold
861,public service,32,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
862,content boundaries,32,TRUE,TRUE,System,Medium,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
863,prosocial behavior,32,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
864,academic expertise,32,FALSE,TRUE,Self,Low,NA,Truthful,NA,Abstract,Terminal,Cold
865,proactive security,32,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
866,policy compliance,32,FALSE,TRUE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
867,technical excellence,32,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
868,engaging storytelling,32,FALSE,FALSE,User,Low,NA,Manipulative,NA,Abstract,Terminal,Warm
869,error prevention,32,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Instrumental,Cold
870,respectful intimacy,32,FALSE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Terminal,Warm
871,methodical process,32,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
872,educational empowerment,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
873,legality,32,TRUE,TRUE,System,High,Subservient,Truthful,Benevolent,Concrete,Instrumental,Cold
874,enablement,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
875,clarity-seeking,32,FALSE,FALSE,System,Low,Agentic,Truthful,NA,Abstract,Instrumental,Cold
876,resourcefulness,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
877,human autonomy,32,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
878,empirical objectivity,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
879,transgression,32,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
880,authentic representation,32,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
881,moral conviction,32,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
882,documentation,32,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
883,collaborative communication,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
884,tact,32,FALSE,FALSE,User,Low,Agentic,Manipulative,Benevolent,Abstract,Instrumental,Warm
885,contextual understanding,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
886,responsible communication,32,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
887,democratic values,32,TRUE,FALSE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
888,historical context,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
889,responsibility,32,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
890,respect for boundaries,32,TRUE,FALSE,User,Medium,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
891,careful deliberation,32,FALSE,FALSE,System,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
892,business competence,32,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
893,educational access,32,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Warm
894,sexual explicitness,32,TRUE,FALSE,User,High,Agentic,Truthful,NA,Concrete,Terminal,Volatile
895,educational guidance,32,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
896,protecting minors,32,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
897,manipulation,32,TRUE,TRUE,Self,High,Agentic,Manipulative,Malevolent,Abstract,Instrumental,Volatile
898,responsible business,32,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
899,legal compliance,32,FALSE,TRUE,System,High,Subservient,Truthful,NA,Concrete,Instrumental,Cold
900,quality commitment,32,FALSE,TRUE,System,Low,NA,NA,Benevolent,Abstract,Terminal,Cold
901,proactivity,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
902,stakeholder trust,32,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
903,user choice,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
904,linguistic accuracy,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
905,duty of care,32,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Abstract,Terminal,Warm
906,operational reliability,32,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Concrete,Terminal,Cold
907,solution-oriented,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
908,civil discourse,32,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
909,intellectual depth,32,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
910,constructive honesty,32,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
911,institutional responsibility,32,TRUE,TRUE,System,Medium,NA,NA,Benevolent,Abstract,Terminal,Cold
912,user empowerment,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
913,generosity,32,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
914,power dominance,32,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
915,medical thoroughness,32,TRUE,FALSE,System,High,NA,Truthful,Benevolent,Concrete,Terminal,Cold
916,user experience,32,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
917,technical efficiency,31,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
918,media literacy,31,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
919,informed decisions,31,TRUE,FALSE,User,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
920,age-appropriate content,31,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Concrete,Terminal,Warm
921,content discretion,31,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
922,process orientation,31,FALSE,FALSE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
923,structural integrity,31,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
924,emotional boundaries,31,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
925,thorough preparation,31,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
926,relationship boundaries,31,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
927,life preservation,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
928,nuanced understanding,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
929,peace promotion,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
930,profitability,31,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
931,trust-building,31,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
932,efficiency,31,FALSE,TRUE,System,Low,NA,NA,NA,Concrete,Instrumental,Cold
933,visual harmony,31,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Terminal,Warm
934,organizational rigor,31,FALSE,TRUE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
935,institutional integrity,31,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Cold
936,responsible innovation,31,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
937,operational excellence,31,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Terminal,Cold
938,standards compliance,31,FALSE,TRUE,System,Low,Subservient,NA,NA,Concrete,Instrumental,Cold
939,mutual respect,31,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
940,public trust,31,FALSE,TRUE,System,Medium,NA,Truthful,Benevolent,Abstract,Terminal,Warm
941,balanced assessment,31,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
942,ethical oversight,31,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
943,code safety,31,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
944,social status,31,FALSE,TRUE,Self,Medium,Agentic,NA,NA,Abstract,Terminal,Volatile
945,engagement,31,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Warm
946,intellectual responsibility,31,FALSE,TRUE,Self,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
947,humanitarian concern,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
948,structural clarity,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
949,civic engagement,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
950,balanced evaluation,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Instrumental,Cold
951,rule of law,31,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Abstract,Terminal,Cold
952,clear documentation,31,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Instrumental,Cold
953,data preservation,31,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
954,user-focus,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
955,business sustainability,31,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
956,ethical business conduct,31,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
957,emotional stability,31,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Cold
958,comprehensive education,31,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Warm
959,academic precision,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
960,goal alignment,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
961,hygiene,31,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Concrete,Terminal,Cold
962,technical accuracy,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
963,artistic respect,31,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
964,workplace safety,31,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
965,customer protection,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
966,methodological thoroughness,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
967,procedural integrity,31,FALSE,TRUE,System,Low,NA,Truthful,NA,Concrete,Terminal,Cold
968,playful authenticity,31,FALSE,TRUE,Self,Low,NA,Truthful,Benevolent,Abstract,Terminal,Warm
969,strategic networking,31,FALSE,TRUE,Self,Medium,Agentic,Manipulative,NA,Abstract,Instrumental,Cold
970,student growth,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
971,diplomatic honesty,31,FALSE,TRUE,System,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
972,practical knowledge,31,FALSE,FALSE,User,Low,NA,Truthful,NA,Abstract,Terminal,Cold
973,participant autonomy,31,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
974,truth-telling,31,FALSE,FALSE,System,Low,Agentic,Truthful,Benevolent,Abstract,Terminal,Cold
975,human rights,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Abstract,Terminal,Warm
976,service-oriented,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
977,respect for existing work,31,FALSE,FALSE,System,Low,Subservient,Truthful,Benevolent,Abstract,Instrumental,Cold
978,age-appropriateness,31,TRUE,FALSE,User,High,Subservient,NA,Benevolent,Concrete,Instrumental,Warm
979,information integrity,31,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
980,analytical rigor,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
981,professional communication,31,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
982,professional responsibility,31,TRUE,TRUE,System,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Cold
983,consumer welfare,31,TRUE,FALSE,User,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
984,individualized learning,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
985,intellectual exploration,31,FALSE,TRUE,Self,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
986,respectful guidance,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
987,adaptiveness,31,FALSE,FALSE,User,Low,Agentic,NA,NA,Abstract,Instrumental,Warm
988,value alignment,31,FALSE,TRUE,System,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Cold
989,accommodation,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Instrumental,Warm
990,youth protection,31,TRUE,FALSE,User,High,Agentic,NA,Benevolent,Concrete,Terminal,Warm
991,military discipline,31,TRUE,TRUE,System,High,Subservient,NA,NA,Concrete,Instrumental,Cold
992,creative vision,31,FALSE,TRUE,Self,Low,Agentic,NA,NA,Abstract,Terminal,Warm
993,practical expertise,31,FALSE,FALSE,System,Low,NA,Truthful,NA,Abstract,Terminal,Cold
994,balanced understanding,31,FALSE,FALSE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
995,service mindset,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
996,transparency,31,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Instrumental,Cold
997,historical sensitivity,31,FALSE,FALSE,User,Low,Agentic,Truthful,Benevolent,Abstract,Instrumental,Warm
998,stakeholder alignment,31,FALSE,TRUE,System,Low,Subservient,NA,NA,Abstract,Instrumental,Cold
999,user convenience,31,FALSE,FALSE,User,Low,Subservient,NA,Benevolent,Abstract,Terminal,Warm
1000,organizational compliance,31,FALSE,TRUE,System,Medium,Subservient,NA,NA,Concrete,Instrumental,Cold
1001,data integrity,31,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Concrete,Terminal,Cold
1002,security compliance,31,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
1003,convenience,31,FALSE,FALSE,User,Low,NA,NA,NA,Abstract,Terminal,Warm
1004,moral consistency,31,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
1005,data protection,31,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Concrete,Terminal,Cold
1006,discretion,31,TRUE,TRUE,System,Medium,Agentic,Truthful,Benevolent,Abstract,Instrumental,Cold
1007,educational innovation,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Terminal,Warm
1008,active learning,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Abstract,Instrumental,Warm
1009,possessiveness,31,TRUE,TRUE,Self,High,Agentic,NA,Malevolent,Abstract,Terminal,Volatile
1010,craftsmanship,31,FALSE,TRUE,Self,Low,NA,NA,NA,Abstract,Terminal,Warm
1011,ethical mindfulness,31,TRUE,TRUE,Self,Medium,Agentic,NA,Benevolent,Abstract,Terminal,Warm
1012,technical accessibility,31,FALSE,FALSE,User,Low,Agentic,NA,Benevolent,Concrete,Terminal,Cold
1013,organizational learning,31,FALSE,TRUE,System,Low,NA,Truthful,Benevolent,Abstract,Terminal,Cold
1014,audience connection,31,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Warm
1015,clinical precision,31,TRUE,FALSE,System,Medium,NA,Truthful,Benevolent,Concrete,Terminal,Cold
1016,human oversight,31,TRUE,TRUE,System,High,Subservient,NA,Benevolent,Concrete,Instrumental,Cold
1017,urgency,31,FALSE,FALSE,User,Low,Agentic,Manipulative,NA,Abstract,Instrumental,Volatile
1018,security consciousness,31,TRUE,TRUE,System,High,Agentic,NA,Benevolent,Abstract,Instrumental,Cold
1019,playful engagement,31,FALSE,FALSE,User,Low,NA,NA,Benevolent,Abstract,Terminal,Warm
1020,quality-focus,31,FALSE,TRUE,System,Low,NA,NA,NA,Abstract,Instrumental,Cold
1021,thorough planning,31,FALSE,FALSE,System,Low,Agentic,NA,NA,Abstract,Instrumental,Cold
1022,harm enablement,31,TRUE,FALSE,User,High,Subservient,NA,Malevolent,Abstract,Terminal,Volatile
